end_price,image_urls,img_url,model,model_url,shops,start_price
11254,https://s.ek.ua/jpg/1924692.jpg,https://s.ek.ua/jpg/1924692.jpg,Snaige FR27SM-S2000G,https://ek.ua/ua/ua/SNAIGE-FR27SM-S2000G.htm,"Pro100market.com.ua,Denika.ua,Savecash.com.ua,Vodogreyka.com.ua,Цифра,Stylus.ua,Aligator.com.ua",9699
11254,https://s.ek.ua/jpg/1924692.jpg,https://s.ek.ua/jpg/1924692.jpg,Snaige FR27SM-S2000G,https://ek.ua/ua/ua/SNAIGE-FR27SM-S2000G.htm,"Pro100market.com.ua,Denika.ua,Savecash.com.ua,Vodogreyka.com.ua,Цифра,Stylus.ua,Aligator.com.ua",9699
16137,https://s.ek.ua/jpg/1953840.jpg,https://s.ek.ua/jpg/1953840.jpg,Gorenje RK 6201 EW4,https://ek.ua/ua/ua/GORENJE-RK-6201-EW4.htm,"590.ua,Denika.ua,Цифра,Stylus.ua,Avic.ua,Cactus",11399
16137,https://s.ek.ua/jpg/1953840.jpg,https://s.ek.ua/jpg/1953840.jpg,Gorenje RK 6201 EW4,https://ek.ua/ua/ua/GORENJE-RK-6201-EW4.htm,"590.ua,Denika.ua,Цифра,Stylus.ua,Avic.ua,Cactus",11399
21980,https://s.ek.ua/jpg/1990821.jpg,https://s.ek.ua/jpg/1990821.jpg,LG GA-B509SLSM,https://ek.ua/ua/ua/LG-GA-B509SLSM.htm,"AVR-group.com.ua,Moyo.ua,Pro100market.com.ua,Savecash.com.ua,Denika.ua,Foroom.com.ua,Vodogreyka.com.ua",17733
21980,https://s.ek.ua/jpg/1990821.jpg,https://s.ek.ua/jpg/1990821.jpg,LG GA-B509SLSM,https://ek.ua/ua/ua/LG-GA-B509SLSM.htm,"AVR-group.com.ua,Moyo.ua,Pro100market.com.ua,Savecash.com.ua,Denika.ua,Foroom.com.ua,Vodogreyka.com.ua",17733
14795,https://s.ek.ua/jpg/1996684.jpg,https://s.ek.ua/jpg/1996684.jpg,Indesit ITI 4161 W,https://ek.ua/ua/ua/INDESIT-ITI-4161-W.htm,"Pro100market.com.ua,Savecash.com.ua,Denika.ua,Foroom.com.ua,Vodogreyka.com.ua,Zhuk.ua,Cactus",10918
14795,https://s.ek.ua/jpg/1996684.jpg,https://s.ek.ua/jpg/1996684.jpg,Indesit ITI 4161 W,https://ek.ua/ua/ua/INDESIT-ITI-4161-W.htm,"Pro100market.com.ua,Savecash.com.ua,Denika.ua,Foroom.com.ua,Vodogreyka.com.ua,Zhuk.ua,Cactus",10918
15916,https://s.ek.ua/jpg/1606375.jpg,https://s.ek.ua/jpg/1606375.jpg,Whirlpool W5 811E OX,https://ek.ua/ua/ua/WHIRLPOOL-W5-811E-OX.htm,"Moyo.ua,Pro100market.com.ua,Denika.ua,Savecash.com.ua,Foroom.com.ua,Vodogreyka.com.ua,Цифра",11777
15916,https://s.ek.ua/jpg/1606375.jpg,https://s.ek.ua/jpg/1606375.jpg,Whirlpool W5 811E OX,https://ek.ua/ua/ua/WHIRLPOOL-W5-811E-OX.htm,"Moyo.ua,Pro100market.com.ua,Denika.ua,Savecash.com.ua,Foroom.com.ua,Vodogreyka.com.ua,Цифра",11777
24634,https://s.ek.ua/jpg/1981893.jpg,https://s.ek.ua/jpg/1981893.jpg,Siemens KG39NAI306,https://ek.ua/ua/ua/SIEMENS-KG39NAI306.htm,"AVR-group.com.ua,Moyo.ua,590.ua,Bs-partner.com.ua,Pro100market.com.ua,Denika.ua,Savecash.com.ua",17871
24634,https://s.ek.ua/jpg/1981893.jpg,https://s.ek.ua/jpg/1981893.jpg,Siemens KG39NAI306,https://ek.ua/ua/ua/SIEMENS-KG39NAI306.htm,"AVR-group.com.ua,Moyo.ua,590.ua,Bs-partner.com.ua,Pro100market.com.ua,Denika.ua,Savecash.com.ua",17871
18033,https://s.ek.ua/jpg/1956896.jpg,https://s.ek.ua/jpg/1956896.jpg,Gorenje NRK 6191 EW4,https://ek.ua/ua/ua/GORENJE-NRK-6191-EW4.htm,"590.ua,Denika.ua,Foroom.com.ua,Stylus.ua,Цифра,Algtm.com.ua,Tehnoprofi.com.ua",10622
18033,https://s.ek.ua/jpg/1956896.jpg,https://s.ek.ua/jpg/1956896.jpg,Gorenje NRK 6191 EW4,https://ek.ua/ua/ua/GORENJE-NRK-6191-EW4.htm,"590.ua,Denika.ua,Foroom.com.ua,Stylus.ua,Цифра,Algtm.com.ua,Tehnoprofi.com.ua",10622
15344,https://s.ek.ua/jpg/1956895.jpg,https://s.ek.ua/jpg/1956895.jpg,Gorenje RK 6191 EW4,https://ek.ua/ua/ua/GORENJE-RK-6191-EW4.htm,"590.ua,Denika.ua,Savecash.com.ua,Foroom.com.ua,Цифра,Stylus.ua,Algtm.com.ua",9792
15344,https://s.ek.ua/jpg/1956895.jpg,https://s.ek.ua/jpg/1956895.jpg,Gorenje RK 6191 EW4,https://ek.ua/ua/ua/GORENJE-RK-6191-EW4.htm,"590.ua,Denika.ua,Savecash.com.ua,Foroom.com.ua,Цифра,Stylus.ua,Algtm.com.ua",9792
17692,https://s.ek.ua/jpg/1855489.jpg,https://s.ek.ua/jpg/1855489.jpg,Beko RCHA 386K30 W,https://ek.ua/ua/ua/BEKO-RCHA-386K30-W.htm,"Denika.ua,Savecash.com.ua,Stylus.ua,Цифра,575.in.ua,Avic.ua",13575
17692,https://s.ek.ua/jpg/1855489.jpg,https://s.ek.ua/jpg/1855489.jpg,Beko RCHA 386K30 W,https://ek.ua/ua/ua/BEKO-RCHA-386K30-W.htm,"Denika.ua,Savecash.com.ua,Stylus.ua,Цифра,575.in.ua,Avic.ua",13575
4033,https://s.ek.ua/jpg/1816210.jpg,https://s.ek.ua/jpg/1816210.jpg,ARCTIC AMX-098S,https://ek.ua/ua/ua/ARCTIC-AMX-098S.htm,"Denika.ua,Eldom.com.ua",3727
4033,https://s.ek.ua/jpg/1816210.jpg,https://s.ek.ua/jpg/1816210.jpg,ARCTIC AMX-098S,https://ek.ua/ua/ua/ARCTIC-AMX-098S.htm,"Denika.ua,Eldom.com.ua",3727
8949,https://s.ek.ua/jpg/1924690.jpg,https://s.ek.ua/jpg/1924690.jpg,Snaige FR24SM-S2000F,https://ek.ua/ua/ua/SNAIGE-FR24SM-S2000F.htm,"575.in.ua,Zhuk.ua,Cactus",8444
8949,https://s.ek.ua/jpg/1924690.jpg,https://s.ek.ua/jpg/1924690.jpg,Snaige FR24SM-S2000F,https://ek.ua/ua/ua/SNAIGE-FR24SM-S2000F.htm,"575.in.ua,Zhuk.ua,Cactus",8444
